i,real,imag
5,-0.7106,-0.08392
5,-0.7106,0.08392
5,-0.2894,-0.08392
5,-0.2894,0.08392
5,-0.7726,0.0000
5,-0.5000,0.0000
5,-0.2274,0.0000
5,-0.5000,-0.06122
5,-0.5000,0.06122
5,-0.5000,0.0000
5,-0.6182,-0.07744
5,-0.6182,0.07744
5,-0.3818,-0.07744
5,-0.3818,0.07744
5,-0.5000,0.0000
5,-0.7133,-0.2220
5,-0.7133,0.2220
5,-0.2867,-0.2220
5,-0.2867,0.2220
5,-0.8094,0.0000
5,-0.6667,0.0000
5,-0.5000,0.0000
5,-0.3333,0.0000
5,-0.1906,0.0000
5,-0.8531,0.0000
5,-0.6061,0.0000
5,-0.5000,0.0000
5,-0.3939,0.0000
5,-0.1469,0.0000
5,-0.8289,0.0000
5,-0.5000,0.0000
5,-0.1711,0.0000
5,-0.5000,-0.1382
5,-0.5000,0.1382
5,-0.8598,0.0000
5,-0.6790,0.0000
5,-0.5000,0.0000
5,-0.3210,0.0000
5,-0.1402,0.0000
5,-0.8224,0.0000
5,-0.6294,0.0000
5,-0.5000,0.0000
5,-0.3706,0.0000
5,-0.1776,0.0000
5,-0.7818,0.0000
5,-0.5000,0.0000
5,-0.2182,0.0000
5,-0.5000,-0.1844
5,-0.5000,0.1844
5,-0.8283,0.0000
5,-0.6565,0.0000
5,-0.5000,0.0000
5,-0.3435,0.0000
5,-0.1717,0.0000
5,-0.7486,0.0000
5,-0.5000,0.0000
5,-0.2514,0.0000
5,-0.5000,-0.08569
5,-0.5000,0.08569
5,-0.5000,0.0000
5,-0.6519,-0.1294
5,-0.6519,0.1294
5,-0.3481,-0.1294
5,-0.3481,0.1294
5,-0.7376,0.0000
5,-0.5000,0.0000
5,-0.2624,0.0000
5,-0.5000,-0.000005702
5,-0.5000,0.000005702
5,-0.7790,0.0000
5,-0.6339,0.0000
5,-0.5000,0.0000
5,-0.3661,0.0000
5,-0.2210,0.0000
5,-0.6791,0.0000
5,-0.5000,0.0000
5,-0.3209,0.0000
5,-0.5000,-0.1755
5,-0.5000,0.1755
5,-0.5000,0.0000
5,-0.7301,-0.03321
5,-0.7301,0.03321
5,-0.2699,-0.03321
5,-0.2699,0.03321
5,-0.7297,0.0000
5,-0.5000,0.0000
5,-0.2703,0.0000
5,-0.5000,-0.2243
5,-0.5000,0.2243
5,-0.7940,0.0000
5,-0.5469,0.0000
5,-0.5000,0.0000
5,-0.4531,0.0000
5,-0.2060,0.0000
5,-0.7311,0.0000
5,-0.5000,0.0000
5,-0.2689,0.0000
5,-0.5000,-0.2175
5,-0.5000,0.2175
5,-0.7098,0.0000
5,-0.5000,0.0000
5,-0.2902,0.0000
5,-0.5000,-0.1754
5,-0.5000,0.1754
5,-0.5000,0.0000
5,-0.6347,-0.07903
5,-0.6347,0.07903
5,-0.3653,-0.07903
5,-0.3653,0.07903
5,-0.5800,0.0000
5,-0.5000,0.0000
5,-0.4200,0.0000
5,-0.5000,-0.2007
5,-0.5000,0.2007
5,-0.5000,0.0000
5,-0.6885,-0.08527
5,-0.6885,0.08527
5,-0.3115,-0.08527
5,-0.3115,0.08527
5,-0.7978,0.0000
5,-0.6511,0.0000
5,-0.5000,0.0000
5,-0.3489,0.0000
5,-0.2022,0.0000
5,-0.5000,0.0000
5,-0.6813,-0.03739
5,-0.6813,0.03739
5,-0.3187,-0.03739
5,-0.3187,0.03739
5,-0.7803,0.0000
5,-0.5000,0.0000
5,-0.2197,0.0000
5,-0.5000,-0.000004905
5,-0.5000,0.000004905
5,-0.7458,0.0000
5,-0.5000,0.0000
5,-0.2542,0.0000
5,-0.5000,-0.2049
5,-0.5000,0.2049
5,-0.8150,0.0000
5,-0.6667,0.0000
5,-0.5000,0.0000
5,-0.3333,0.0000
5,-0.1850,0.0000
5,-0.5000,0.0000
5,-0.7033,-0.1193
5,-0.7033,0.1193
5,-0.2967,-0.1193
5,-0.2967,0.1193
5,-0.5000,0.0000
5,-0.6986,-0.1099
5,-0.6986,0.1099
5,-0.3014,-0.1099
5,-0.3014,0.1099
5,-0.8316,0.0000
5,-0.5406,0.0000
5,-0.5000,0.0000
5,-0.4594,0.0000
5,-0.1684,0.0000
5,-0.8044,0.0000
5,-0.5000,0.0000
5,-0.1956,0.0000
5,-0.5000,-0.1865
5,-0.5000,0.1865
5,-0.5000,0.0000
5,-0.5000,-0.1043
5,-0.5000,0.1043
5,-0.5000,-0.00001026
5,-0.5000,0.00001026
5,-0.5000,0.0000
5,-0.6648,-0.1898
5,-0.6648,0.1898
5,-0.3352,-0.1898
5,-0.3352,0.1898
5,-0.5000,0.0000
5,-0.6099,-0.1900
5,-0.6099,0.1900
5,-0.3901,-0.1900
5,-0.3901,0.1900
5,-0.5000,0.0000
5,-0.7009,-0.09307
5,-0.7009,0.09307
5,-0.2991,-0.09307
5,-0.2991,0.09307
5,-0.5000,0.0000
5,-0.6875,-0.1508
5,-0.6875,0.1508
5,-0.3125,-0.1508
5,-0.3125,0.1508
5,-0.5000,0.0000
5,-0.7273,-0.1826
5,-0.7273,0.1826
5,-0.2727,-0.1826
5,-0.2727,0.1826
5,-0.7914,0.0000
5,-0.5000,0.0000
5,-0.2086,0.0000
5,-0.5000,-0.09582
5,-0.5000,0.09582
5,-0.6000,0.0000
5,-0.5000,0.0000
5,-0.4000,0.0000
5,-0.5000,-0.00001091
5,-0.5000,0.00001091
5,-0.5000,0.0000
5,-0.6625,-0.09823
5,-0.6625,0.09823
5,-0.3375,-0.09823
5,-0.3375,0.09823
5,-0.5000,0.0000
5,-0.6157,-0.1658
5,-0.6157,0.1658
5,-0.3843,-0.1658
5,-0.3843,0.1658
5,-0.5000,0.0000
5,-0.7082,-0.09409
5,-0.7082,0.09409
5,-0.2918,-0.09409
5,-0.2918,0.09409
5,-0.5000,0.0000
5,-0.6915,-0.1155
5,-0.6915,0.1155
5,-0.3085,-0.1155
5,-0.3085,0.1155
5,-0.8081,0.0000
5,-0.6093,0.0000
5,-0.5000,0.0000
5,-0.3907,0.0000
5,-0.1919,0.0000
5,-0.8477,0.0000
5,-0.6361,0.0000
5,-0.5000,0.0000
5,-0.3639,0.0000
5,-0.1523,0.0000
5,-0.7742,0.0000
5,-0.5000,0.0000
5,-0.2258,0.0000
5,-0.5000,-0.1474
5,-0.5000,0.1474
5,-0.7731,0.0000
5,-0.5714,0.0000
5,-0.5000,0.0000
5,-0.4286,0.0000
5,-0.2269,0.0000
5,-0.6667,0.0000
5,-0.6000,0.0000
5,-0.5000,0.0000
5,-0.4000,0.0000
5,-0.3333,0.0000
5,-0.5000,0.0000
5,-0.6994,-0.04082
5,-0.6994,0.04082
5,-0.3006,-0.04082
5,-0.3006,0.04082
5,-0.5000,0.0000
5,-0.6282,-0.07870
5,-0.6282,0.07870
5,-0.3718,-0.07870
5,-0.3718,0.07870
5,-0.5000,0.0000
5,-0.6741,-0.1663
5,-0.6741,0.1663
5,-0.3259,-0.1663
5,-0.3259,0.1663
5,-0.5000,0.0000
5,-0.7170,-0.1056
5,-0.7170,0.1056
5,-0.2830,-0.1056
5,-0.2830,0.1056
5,-0.5000,0.0000
5,-0.7015,-0.1824
5,-0.7015,0.1824
5,-0.2985,-0.1824
5,-0.2985,0.1824
5,-0.5000,0.0000
5,-0.7290,-0.09725
5,-0.7290,0.09725
5,-0.2710,-0.09725
5,-0.2710,0.09725
5,-0.8480,0.0000
5,-0.6704,0.0000
5,-0.5000,0.0000
5,-0.3296,0.0000
5,-0.1520,0.0000
5,-0.5000,0.0000
5,-0.7164,-0.09275
5,-0.7164,0.09275
5,-0.2836,-0.09275
5,-0.2836,0.09275
5,-0.7292,0.0000
5,-0.6423,0.0000
5,-0.5000,0.0000
5,-0.3577,0.0000
5,-0.2708,0.0000
5,-0.6824,0.0000
5,-0.5000,0.0000
5,-0.3176,0.0000
5,-0.5000,-0.1237
5,-0.5000,0.1237
5,-0.5000,0.0000
5,-0.7439,-0.01595
5,-0.7439,0.01595
5,-0.2561,-0.01595
5,-0.2561,0.01595
5,-0.8232,0.0000
5,-0.6498,0.0000
5,-0.5000,0.0000
5,-0.3502,0.0000
5,-0.1768,0.0000
5,-0.7376,0.0000
5,-0.5000,0.0000
