i,real,imag
6,-0.8518,0.0000
6,-0.1482,0.0000
6,-0.5506,-0.2161
6,-0.5506,0.2161
6,-0.4494,-0.2161
6,-0.4494,0.2161
6,-0.8842,0.0000
6,-0.1158,0.0000
6,-0.6702,-0.1082
6,-0.6702,0.1082
6,-0.3298,-0.1082
6,-0.3298,0.1082
6,-0.8666,0.0000
6,-0.7142,0.0000
6,-0.6318,0.0000
6,-0.3682,0.0000
6,-0.2858,0.0000
6,-0.1334,0.0000
6,-0.8635,0.0000
6,-0.7680,0.0000
6,-0.5727,0.0000
6,-0.4273,0.0000
6,-0.2320,0.0000
6,-0.1365,0.0000
6,-0.8782,0.0000
6,-0.6692,0.0000
6,-0.3308,0.0000
6,-0.1218,0.0000
6,-0.5000,-0.00000003583
6,-0.5000,0.00000003583
6,-0.8797,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.1203,0.0000
6,-0.5000,-0.2601
6,-0.5000,0.2601
6,-0.9150,0.0000
6,-0.6832,0.0000
6,-0.6667,0.0000
6,-0.3333,0.0000
6,-0.3168,0.0000
6,-0.08496,0.0000
6,-0.9188,0.0000
6,-0.6870,0.0000
6,-0.3130,0.0000
6,-0.08118,0.0000
6,-0.5000,-0.1220
6,-0.5000,0.1220
6,-0.8984,0.0000
6,-0.6363,0.0000
6,-0.3637,0.0000
6,-0.1016,0.0000
6,-0.5000,-0.3333
6,-0.5000,0.3333
6,-0.9012,0.0000
6,-0.6581,0.0000
6,-0.3419,0.0000
6,-0.09878,0.0000
6,-0.5000,-0.1730
6,-0.5000,0.1730
6,-0.9045,0.0000
6,-0.7112,0.0000
6,-0.2888,0.0000
6,-0.09546,0.0000
6,-0.5000,-0.00000002845
6,-0.5000,0.00000002845
6,-0.8646,0.0000
6,-0.6292,0.0000
6,-0.3708,0.0000
6,-0.1354,0.0000
6,-0.5000,-0.3000
6,-0.5000,0.3000
6,-0.8262,0.0000
6,-0.1738,0.0000
6,-0.5000,-0.2887
6,-0.5000,-0.1619
6,-0.5000,0.1619
6,-0.5000,0.2887
6,-0.8262,0.0000
6,-0.1738,0.0000
6,-0.5000,-0.1890
6,-0.5000,-0.1619
6,-0.5000,0.1619
6,-0.5000,0.1890
6,-0.8386,0.0000
6,-0.1614,0.0000
6,-0.5000,-0.2295
6,-0.5000,-0.04083
6,-0.5000,0.04083
6,-0.5000,0.2295
6,-0.8606,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.1394,0.0000
6,-0.5000,-0.2887
6,-0.5000,0.2887
6,-0.8606,0.0000
6,-0.1394,0.0000
6,-0.5000,-0.1890
6,-0.5000,-0.00000008348
6,-0.5000,0.00000008348
6,-0.5000,0.1890
6,-0.8944,0.0000
6,-0.6139,0.0000
6,-0.3861,0.0000
6,-0.1056,0.0000
6,-0.5000,-0.2798
6,-0.5000,0.2798
6,-0.8888,0.0000
6,-0.6271,0.0000
6,-0.3729,0.0000
6,-0.1112,0.0000
6,-0.5000,-0.2526
6,-0.5000,0.2526
6,-0.9162,0.0000
6,-0.6824,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.3176,0.0000
6,-0.08384,0.0000
6,-0.9212,0.0000
6,-0.7234,0.0000
6,-0.2766,0.0000
6,-0.07883,0.0000
6,-0.5000,-0.2439
6,-0.5000,0.2439
6,-0.8631,0.0000
6,-0.7533,0.0000
6,-0.2467,0.0000
6,-0.1369,0.0000
6,-0.5000,-0.06214
6,-0.5000,0.06214
6,-0.8518,0.0000
6,-0.6950,0.0000
6,-0.3050,0.0000
6,-0.1482,0.0000
6,-0.5000,-0.1865
6,-0.5000,0.1865
6,-0.8762,0.0000
6,-0.7522,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.2478,0.0000
6,-0.1238,0.0000
6,-0.8262,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.1738,0.0000
6,-0.5000,-0.1619
6,-0.5000,0.1619
6,-0.8207,0.0000
6,-0.7398,0.0000
6,-0.2602,0.0000
6,-0.1793,0.0000
6,-0.5000,-0.1165
6,-0.5000,0.1165
6,-0.7153,-0.06209
6,-0.7153,0.06209
6,-0.5000,-0.2788
6,-0.5000,0.2788
6,-0.2847,-0.06209
6,-0.2847,0.06209
6,-0.7903,0.0000
6,-0.7285,0.0000
6,-0.2715,0.0000
6,-0.2097,0.0000
6,-0.5000,-0.2183
6,-0.5000,0.2183
6,-0.8664,0.0000
6,-0.7634,0.0000
6,-0.2366,0.0000
6,-0.1336,0.0000
6,-0.5000,-0.05263
6,-0.5000,0.05263
6,-0.8606,0.0000
6,-0.1394,0.0000
6,-0.5001,-0.00005031
6,-0.5001,0.00005031
6,-0.4999,-0.00005030
6,-0.4999,0.00005030
6,-0.8477,0.0000
6,-0.1523,0.0000
6,-0.5000,-0.2917
6,-0.5000,-0.1576
6,-0.5000,0.1576
6,-0.5000,0.2917
6,-0.8897,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.1103,0.0000
6,-0.5000,-0.1984
6,-0.5000,0.1984
6,-0.8139,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.1861,0.0000
6,-0.5000,-0.2308
6,-0.5000,0.2308
6,-0.8761,0.0000
6,-0.6667,0.0000
6,-0.3333,0.0000
6,-0.1239,0.0000
6,-0.5000,-0.1949
6,-0.5000,0.1949
6,-0.9389,0.0000
6,-0.7972,0.0000
6,-0.2028,0.0000
6,-0.06111,0.0000
6,-0.5000,-0.00000002694
6,-0.5000,0.00000002694
6,-0.8832,0.0000
6,-0.7856,0.0000
6,-0.2144,0.0000
6,-0.1168,0.0000
6,-0.5000,-0.1454
6,-0.5000,0.1454
6,-0.9116,0.0000
6,-0.7184,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.2816,0.0000
6,-0.08841,0.0000
6,-0.8752,0.0000
6,-0.6399,0.0000
6,-0.3601,0.0000
6,-0.1248,0.0000
6,-0.5000,-0.3229
